movie_ref,discogs_title_norm,tmdb_title_norm,discogs_year,tmdb_year,discogs_genre,tmdb_genre,discogs_style
Akira,geinoh yamashirogumi akira,,2014,1988,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,,2014,2022,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,akira project,2014,2014,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,,2014,1989,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,,2014,2017,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,,2014,2000,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,,2014,2016,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,,2014,1993,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,origami,2014,2007,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Akira,geinoh yamashirogumi akira,,2014,2002,"Electronic, Folk, World, & Country, Stage & Screen",,Soundtrack
Am lie,yann tiersen amelie,le fabuleux destin amelie poulain,2001,2001,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,amelie,2001,2021,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,amelie et la metaphysique des tubes,2001,2025,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,la veritable histoire amelie poulain,2001,2023,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,romanze mit amelie,2001,1982,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,occupe toi amelie,2001,1932,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,amelie ou le temps aimer,2001,1961,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,amelie au pays des bodin,2001,2010,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,amelie oudea castera jeux decisifs,2001,2025,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,capitaine casta amelie disparu,2001,2007,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,amelie rennt,2001,2017,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,liebe amelie,2001,2005,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,amelie nothomb une vie entre deux eaux,2001,2012,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,amelie ich komme,2001,1986,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,occupe toi amelie,2001,1949,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,occupe toi amelie,2001,2012,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,amie amelie,2001,2014,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,amelie albrecht zwaar leven,2001,2021,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,le voyage amelie,2001,1974,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
Am lie,yann tiersen amelie,la passarella di amelie,2001,2025,"Pop, Classical, Stage & Screen",,"Soundtrack, Chanson, Neo-Classical"
